Fid,SourcedFrom,FileTimeUtc,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,Payload,SourceIpCountryCode,SourceIpRegion,SourceIpCity,SourceIpLatitude,SourceIpLongitude,SourceIpMetroCode,SourceIpAreaCode,HttpRequest,Label
216.58.219.238-10.42.0.151-443-33480-6,SinkHoleMessage,1.31E+17,175.140.89.227,49927,AS4788,204.95.99.31,1921,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,DDOS
10.42.0.211-103.235.46.212-57717-80-6,SinkHoleMessage,1.31E+17,60.54.85.214,24026,AS4788,204.95.99.86,991,Unknown,MY,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,WORMS
203.205.128.137-10.42.0.42-80-47395-6,SinkHoleMessage,1.31E+17,202.162.25.177,58104,AS18206,204.95.99.109,7777,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /ready HTTP/1.1,WORMS
183.79.248.252-10.42.0.211-443-55933-6,SinkHoleMessage,1.31E+17,120.141.81.6,53052,AS38322,204.95.99.109,88,Unknown,MY,12,Batu Caves,3.2333,101.6667,0,0,POST /is-ready HTTP/1.1,WORMS
182.22.25.124-10.42.0.211-80-32808-6,SinkHoleMessage,1.31E+17,210.195.121.234,61840,AS4788,204.95.99.26,1333,Unknown,MY,12,Petaling Jaya,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-64.71.142.124-40396-80-6,SinkHoleMessage,1.31E+17,103.244.49.56,60125,AS132514,204.95.99.86,1888,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,"lv0njxq80~Torrent~_6A7ED7950njxq80MYS0njxq80WIN_7 X64 SP10njxq800.3.10njxq80N0njxq80""Marvel's Ultimate Spider-Man: Web Warriors"" - Ep. 2, Clip 1 - YouTube - Google Chrome",WORMS
220.243.219.55-10.42.0.211-80-41410-6,SinkHoleMessage,1.31E+17,124.13.26.186,64433,AS4788,204.95.99.109,1182,Unknown,MY,12,Puchong,3.0167,101.6167,0,0,lv|'|'|SGFjS2VkXzIyNjcyMjcz|'|'|ROHIN-PC|'|'|ROHIN|'|'|2014-02-22|'|'|MYS|'|'|Win 7 Home Premium SP1 x64|'|'|Yes|'|'|0.5.0E|'|'|..|'|'||'|'|[endof],WORMS
10.42.0.211-23.66.169.49-56314-80-6,SinkHoleMessage,1.31E+17,14.1.200.221,50762,AS45960,204.95.99.86,1644,Unknown,MY,12,Batu Caves,3.2333,101.6667,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
182.254.5.234-10.42.0.211-80-47324-6,SinkHoleMessage,1.31E+17,110.159.176.145,60462,AS4788,204.95.99.109,88,Unknown,MY,12,Petaling Jaya,3.0833,101.65,0,0,lv0njxq80w0rm 4_7C7FBB2E0njxq80MYLAPTOP0njxq80myHP0njxq800njxq80WIN_8 X64 SP00njxq800.4d0njxq80Y0njxq80--,WORMS
10.42.0.151-52.88.110.117-41617-443-6,SinkHoleMessage,1.31E+17,183.171.162.74,43340,AS10030,204.95.99.109,88,Unknown,MY,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-31.13.80.5-45358-443-6,SinkHoleMessage,1.31E+17,103.1.71.54,60967,AS45960,204.95.99.31,288,Unknown,MY,1,Johor Bahru,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.211-31.13.69.229-41952-443-6,SinkHoleMessage,1.31E+17,203.106.151.205,10650,AS4788,204.95.99.86,1644,Unknown,MY,9,Penang,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.211-10.42.0.1-54095-53-17,SinkHoleMessage,1.31E+17,113.210.11.234,33384,AS9534,204.95.99.109,88,Unknown,MY,12,Kajang,2.9927,101.7909,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.42-66.198.24.250-38543-443-6,SinkHoleMessage,1.31E+17,124.13.72.58,54103,AS4788,204.95.99.109,9092,Unknown,MY,1,Skudai,1.5333,103.6667,0,0,POST /is-ready HTTP/1.1,DDOS
10.42.0.151-10.42.0.1-41384-53-17,SinkHoleMessage,1.31E+17,175.141.171.242,52886,AS4788,204.95.99.109,88,Unknown,MY,,,2.5,112.5,0,0,lv0njxq80TeeeeFa_DC4955730njxq80ASPIRE1D2700njxq80LALITHA0njxq800njxq80WIN_7 X86 SP00njxq800.4d0njxq80N0njxq80--,DDOS
206.126.112.142-10.42.0.151-443-53517-6,SinkHoleMessage,1.31E+17,113.210.4.197,55317,AS9534,204.95.99.109,95,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,lv||UsbV_8E7F6134||ACER/User||MY||WIN_8 X64||5||Windows Defender||,DDOS
10.42.0.211-104.192.110.245-52641-80-6,SinkHoleMessage,1.31E+17,175.139.132.102,63830,AS4788,204.95.99.109,1998,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,DDOS
211.236.244.151-10.42.0.211-80-42997-6,SinkHoleMessage,1.31E+17,115.164.93.112,58506,AS4818,204.95.99.109,333,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,DDOS
205.185.216.42-10.42.0.151-80-56646-6,SinkHoleMessage,1.31E+17,49.236.193.2,61838,AS17971,204.95.99.109,88,Unknown,MY,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,DDOS
10.42.0.42-106.11.129.144-49054-443-6,SinkHoleMessage,1.31E+17,175.136.207.44,58188,AS4788,204.95.99.109,88,Unknown,MY,12,Seri Kembangan,3.0333,101.7167,0,0,POST /is-ready HTTP/1.1,DDOS
209.10.120.26-10.42.0.211-80-50560-6,SinkHoleMessage,1.31E+17,210.186.109.74,64073,AS4788,204.95.99.100,4040,Unknown,MY,12,Puchong,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,WORMS
203.205.158.63-10.42.0.42-80-48957-6,SinkHoleMessage,1.31E+17,183.171.171.81,1776,AS10030,204.95.99.109,88,Unknown,MY,12,Petaling Jaya,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,WORMS
172.217.6.238-10.42.0.151-80-54516-6,SinkHoleMessage,1.31E+17,60.48.139.42,51316,AS4788,204.95.99.31,1921,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-52.84.40.77-59548-443-6,SinkHoleMessage,1.31E+17,175.143.79.185,8540,AS4788,204.95.99.31,1920,Unknown,MY,12,Batu Caves,3.2333,101.6667,0,0,POST /is-ready HTTP/1.1,WORMS
216.58.219.206-10.42.0.151-443-54486-6,SinkHoleMessage,1.31E+17,1.9.107.158,6951,AS4788,204.95.99.109,333,Unknown,MY,11,Kuching,1.55,110.3333,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-106.11.94.27-51213-443-6,SinkHoleMessage,1.31E+17,175.140.183.122,49460,AS4788,204.95.99.26,99,Unknown,MY,1,Pasir Gudang,1.462,103.9053,0,0,POST /is-ready HTTP/1.1,WORMS
172.217.6.234-10.42.0.42-443-52043-6,SinkHoleMessage,1.31E+17,175.142.9.76,50457,AS4788,204.95.99.109,88,Unknown,MY,7,Ipoh,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,DDOS
10.42.0.211-106.11.92.16-43514-443-6,SinkHoleMessage,1.31E+17,203.106.150.200,9491,AS4788,204.95.99.31,288,Unknown,MY,9,Penang,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,WORMS
183.79.248.252-10.42.0.211-443-55972-6,SinkHoleMessage,1.31E+17,202.188.143.213,59958,AS4788,204.95.99.86,1888,Unknown,MY,12,Seri Kembangan,3.0333,101.7167,0,0,lv0njxq80Mared\AAKUL-RMPPC0007\maa_kul_aproncontrol_08466D3A0njxq80MYS0njxq80WIN_7 X86 SP10njxq800.3.20njxq80Y0njxq80Mimer SoftRadio,WORMS
10.42.0.211-66.198.24.225-45984-443-6,SinkHoleMessage,1.31E+17,58.26.186.2,50896,AS4788,204.95.99.109,81,Unknown,MY,12,Cheras,3.05,101.7667,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-104.193.88.109-53974-80-6,SinkHoleMessage,1.31E+17,175.136.98.237,57545,AS4788,204.95.99.109,333,Unknown,MY,8,Kangar,6.4414,100.1986,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-121.12.98.78-58852-80-6,SinkHoleMessage,1.31E+17,120.141.11.56,61797,AS38322,204.95.99.26,99,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
172.217.10.138-10.42.0.151-443-56513-6,SinkHoleMessage,1.31E+17,119.40.112.36,41585,AS38868,204.95.99.109,82,Unknown,MY,12,Selangor,3.35,101.25,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
